ticker,upper bound,lower bound
A,2.100482426734275,-2.7711700359181917
AA,2.140995715288191,-1.3802071066413817
AAL,0.5072771065505263,-0.008770346173651116
AAN,0.030517124031448753,-1.5199698532417547
AAON,1.5921935895777888,-0.7234259044036606
AAP,3.1705721046322832,-0.031065316723071244
AAPL,2.656655446223719,-1.5103871042071726
ABBV,1.62037294754329,-1.2177746428961673
ABCB,1.2503103078916245,-0.7752920815966161
ABCL,0.5812122419798305,-1.2748379894276798
ABEV,0.10586063536412213,-0.04954185885278509
ABG,4.227908565666388,-5.415794516752582
ABM,0.7181327199106785,-0.6901608237296047
ABNB,7.346480870867459,-2.590929299272176
ABR,0.2013342659441911,-0.28871557565480377
ABT,1.2883323822922899,-2.5470017443915216
ABUS,0.2157372899896996,-0.10793130174214835
ACA,0.0387016033999068,-0.961337011544116
ACB,0.36867811402269973,-0.27373764104100695
ACCD,1.2350418385154325,-1.5331746555654047
ACCO,0.18563428708514285,-0.18238266683764376
ACEL,0.22728795761539922,-0.23971828811577314
ACGL,0.516150219878467,-0.4906038046974059
ACHC,1.3520286940028419,-1.4491987399811461
ACI,0.9508343908717503,-0.6160691433588985
ACIW,0.6929163899120289,-0.42278101321304506
ACLS,1.262430081117022,-0.7688714480802596
ACM,1.0135292233953093,-0.8885933220259962
ACMR,3.6945944529546426,-4.665204322249986
ACN,3.7921750672112657,-3.2770951689177847
ACRE,0.23786459364523788,-0.46194980922445683
ACRS,0.6364622041253265,-1.0712832970365977
ACTG,0.311226339169175,-0.22296726594646915
ADBE,9.792735744268445,-7.9997654128933195
ADCT,0.7010218582827538,-0.8426493377255715
ADI,1.9527437326370856,-0.008223557326109682
ADMA,0.058770132967545775,-0.05676095420493606
ADNT,1.2621026790703613,-1.5283708644397795
ADSK,4.359757043447617,-5.207748195782281
ADT,0.24160136231104637,-0.3163519365360134
ADTN,0.4676004497273546,-0.6699860364493426
ADV,0.13034752540165215,-0.2569541617800509
AEHR,1.3748453239247573,-0.30768092397594304
AEIS,1.6886422098251013,-2.872077372530261
AEL,0.7843873226380718,-0.025145798878311622
AEP,0.860764581961313,-1.1168048565340931
AER,1.0665781763877313,-0.8809170316585109
AES,0.2878370582590729,-0.2884195677529346
AFG,1.974888623250402,-3.4671877578248322
AFL,0.4653307835079744,-0.7825947272147713
AFMD,0.24877675522911466,-0.257211626544699
AG,0.28696393236205325,-0.4001516562661756
AGCO,1.957006532962231,-0.07549169031699397
AGEN,0.21888847889581436,-0.3147926962532651
AGNC,0.09356298418624376,-0.2462435901198122
AGO,0.6767872580471194,-0.5970026896369511
AGRO,0.21980841471569823,-0.29878798055296046
AGYS,1.1708736532260033,-2.480376157075864
AHCO,0.8100502896400152,-0.7333202424846899
AHH,0.3030424206518647,-0.15987809491368682
AHT,1.8993816769701202,-1.2536238921548004
AI,3.3211549432571714,-2.006311336961438
AIG,1.1327852704861368,-1.0189222365479826
AIN,1.5799466735361238,-1.3676973087691688
AIR,0.6849526010827685,-0.5807179329384343
AIT,1.5414468595487616,-1.9076966274171032
AIV,0.10273452221609128,-0.1587691802972709
AIZ,1.4617875461232956,-1.921840552293482
AJG,1.6005365392017992,-1.4940777871707103
AKAM,1.284612849076931,-1.499411461822952
AKTS,0.0018603260641999616,-0.27952340050819163
AL,1.4755415707466193,-0.7148251333411314
ALB,5.9807280126133815,-3.8679340009971144
ALC,2.332596290539797,-0.7914499198011498
ALDX,0.019541622985080394,-0.016299270141395053
ALE,0.8112773486718531,-0.8946567156161843
ALEC,4.155897123138221,-1.58298569499783
ALEX,0.533375170833388,-0.2893910839104087
ALGM,0.5053576957202351,-0.6075005058008953
ALGN,13.677531224839587,-14.013188178215838
ALGT,3.5091222701932754,-3.3241269408499567
ALK,1.1924541858108317,-1.2107537801682962
ALKS,0.6209893655004606,-1.2839524889499117
ALL,1.1607617016120992,-1.555528173650986
ALLE,1.1797951623802667,-1.428048994086772
ALLK,2.2723208904419128,-2.662308292049334
ALLO,0.7067932885838271,-2.6255631582898347
ALLY,0.6116086693133567,-0.8654951683293849
ALRM,1.2491385999336402,-1.5632073683818053
ALSN,0.31475358554263955,-0.599614052371278
ALT,0.5356724925905754,-0.5088289045287878
ALTR,1.2611587937311783,-1.0259565514799025
ALV,0.003427744812993832,-1.6255837568842277
ALVR,0.5615540099793022,-0.006260753483997714
AM,0.14513136498372797,-0.18833548675632455
AMBA,7.434068749767765,-3.092732858614929
AMBC,0.40453108241416075,-0.2099484568077005
AMC,8.005901135967179,-2.7600955407597767
AMCR,0.14264391761631132,-0.14419569403899662
AMCX,3.5854450471177377,-1.5055182745774238
AMD,4.802029529094008,-0.038252179715334504
AME,1.9775887877010943,-1.0824940175224465
AMED,4.373751708991182,-15.025334190620871
AMGN,1.3739736359352233,-2.217280121303856
AMH,0.35481293285423865,-0.38717644134219226
AMKR,0.5598318994173719,-0.7076246530162701
AMN,2.8069104391536834,-5.722809067327497
AMP,3.473448710156388,-4.02325856072076
AMPH,0.35185783809449794,-0.28067144042291114
AMPY,0.2202466966727908,-0.46767826584112004
AMRC,2.3966924461365613,-1.411112103215625
AMRN,0.17090626073080234,-0.1317144369949333
AMRX,0.15030228105296647,-0.1287069471573153
AMSC,0.5711832735090805,-0.4700092871477042
AMT,2.9421431797808557,-3.7740371362055294
AMTX,0.8338548858688212,-0.0181869758527834
AMWL,0.3082119546933913,-0.30614294507785667
AMX,0.27457378219377226,-0.22443932175989612
AMZN,60.11433935958442,-72.5216718971086
AN,3.298523859239956,-1.9979100605032323
