Ticker,Time,close,ema50_prev,ema50,ema200_prev,ema200,obv,rsi,outcome
0,14300,74.99687957763672,70.6826675378606,70.85185232373416,70.7403871071071,70.78274026601784,103750.0,70.44732576920771,1
0,13300,83.96755981445312,81.93543184317188,82.01512313616331,81.94214270541873,81.96229610948872,178812.0,68.18934198611997,1
0,12300,102.05239868164062,93.77480363426359,94.09941520474896,93.96721197833732,94.04766159727566,618973.0,77.96744068507509,0
0,13300,69.7005615234375,68.39684813669868,68.44797415186491,68.40176134167694,68.41468472657009,83331.0,51.82079122442141,1
0,9300,55.720523834228516,52.6050481262018,52.72722364416363,52.636244039839234,52.666933391027186,71563.0,60.52622476439813,1
0,14300,60.57392501831055,55.99659678350293,56.1760998515346,56.00921298028577,56.05463300056462,338684.0,71.59227514973806,0
0,13300,68.68000030517578,55.71142869341558,56.22000012917088,55.91613439131451,56.04313803224845,288986.0,84.99509992111946,1
0,15300,67.83000183105469,66.64688448030873,66.69328123916151,66.65704707005754,66.66871826170926,243213.0,60.227595140596094,1
0,12300,73.80999755859375,71.30689761639329,71.40505839844036,71.33656337384434,71.36117465926473,947884.0,65.88100059985906,0
0,11300,72.54000091552734,71.32109487789394,71.36889511466387,71.34413759304289,71.35603673058004,981499.0,60.8936599118643,1
0,11300,77.70999908447266,74.17479238886808,74.31342794555846,74.24139711142331,74.27591056389146,1475444.0,77.536421696939,0
0,15300,56.470001220703125,54.96317382920932,55.02226509946398,55.00699475822218,55.021552036455816,837096.0,60.45008795195221,1
0,12300,78.55000305175781,73.03751932548458,73.25369515788745,73.1343386576355,73.1882258655372,1609683.0,85.42462747120494,0
1,10300,105.70999908447266,103.7490135924633,103.8259149843068,103.77167922791224,103.79096599265414,152196.0,64.79587251892706,0
1,13300,97.2699966430664,96.34979649574115,96.38588277602841,96.3512381959382,96.360380071034,-3094909.0,54.067205743844404,0
1,13300,96.58999633789062,96.36515606383496,96.3739733294842,96.36771668253543,96.36992842039966,-2823824.0,50.77715775221373,1
1,12300,92.41999816894531,89.79043925541578,89.8935592128091,89.79405087531184,89.8201797041042,-4992915.0,69.24855363597376,0
1,13300,90.83999633789062,89.47970663999179,89.53305133402704,89.50250560084024,89.51581396638302,-4742589.0,53.213279556371354,1
1,11300,105.125,103.53193298076492,103.59440619720552,103.57236067096443,103.58780981851702,-1848538.0,59.2385999613983,0
1,14300,101.41000366210938,100.79569440920845,100.81978496814574,100.80016099036833,100.8062290766543,-793327.0,52.38553127182188,0
1,10300,102.6498031616211,100.32696319247832,100.41805495597411,100.37088766135452,100.39356343747657,115242.0,68.46459297538098,1
1,12300,102.04499816894531,100.76082421405837,100.81118397699511,100.78780241258067,100.80031182309176,-30750.0,64.5299143194137,0
1,10300,93.8499984741211,92.31048548478036,92.37085854318588,92.33475320121183,92.34983026860395,-837769.0,59.98883068425499,1
1,10300,100.9800033569336,99.30598161246829,99.37162952401594,99.32473307757925,99.3412034286176,-2170600.0,60.126142111640135,0
1,9300,84.2699966430664,82.24689477405094,82.32623210224763,82.25118573807244,82.27127340876889,-4494223.0,72.17981158163917,1
1,15300,94.54000091552734,93.60507666187176,93.64174035809356,93.60742852506063,93.61670785232896,-3569347.0,53.40710540691129,0
1,14300,99.27999877929688,93.26236245332946,93.49834819160269,93.42405251006065,93.4823206321426,-2825499.0,86.46175499424386,1
2,13300,2.6050000190734863,2.5063260262008358,2.510195594548783,2.5078077662779794,2.508774853370472,689054.0,54.12268422082499,0
2,15300,2.5899999141693115,2.508727204031756,2.5119143691351895,2.5092322500193758,2.5100359083691264,862704.0,60.3274349972289,1
2,9300,2.869999885559082,2.633175979947368,2.642463191932141,2.6389872595669286,2.641285892661378,997501.0,78.7249819302241,1
2,9300,6.309999942779541,5.82794956044246,5.846853497004698,5.833195471822117,5.837939794916221,5715491.0,67.01603588460293,1
2,9300,5.139999866485596,4.354229894439108,4.385044403146813,4.3643702928497685,4.372088000050125,30012898.0,67.06312879770834,1
2,13300,5.289999961853027,5.0047951365887995,5.015979639540338,5.009800752507702,5.012588804341983,26275254.0,60.33045569866823,1
2,12300,7.199999809265137,6.959091053299227,6.968538455493968,6.962431721255766,6.964795582827998,29996279.0,58.317257558477856,0
2,9300,6.980000019073486,6.88996309489478,6.893493954666494,6.890089569385407,6.890984200725587,29784023.0,54.87633994223336,0
2,14300,7.369999885559082,6.835940694218608,6.856884191918234,6.837608839234461,6.842906262580975,30350906.0,66.42637295224473,1
2,9300,6.670100212097168,6.384104830120898,6.395320335296438,6.385745303340947,6.388574705418123,28665938.0,67.62394984890378,0
2,12300,6.627999782562256,6.383903002627748,6.393475425370277,6.39087556701385,6.393235011944681,28708250.0,66.1267264717339,1
3,11300,169.44430541992188,162.2405129162306,162.52301458304203,162.4071593429148,162.47718069691487,20563.0,81.86652159714268,1
3,11300,184.97500610351562,165.99428909414786,166.7386309376525,166.18533208912513,166.37229401961656,299231.0,80.2740369598019,1
3,15300,211.14999389648438,199.40111130882053,199.8618518024544,199.6137172603724,199.72850608262226,670678.0,69.51132672450274,1
3,15300,220.74000549316406,214.46317478134657,214.70932500533942,214.57773003512025,214.63904620883213,848166.0,60.06555046770312,1
3,13300,229.9600067138672,217.724207924728,218.20404317136092,217.80188128036184,217.92285765283452,875821.0,75.77956008272061,1
3,11300,261.8599853515625,252.20574236926652,252.58434013327812,252.38007021871584,252.47439773247552,979588.0,63.28758549635345,1
3,9300,294.7349853515625,277.23848058527904,277.9246180270941,277.6418265632475,277.81190774522076,1059006.0,72.67937307004881,0
